nco_code,title
1311.0100,"General Manager, Plantation  General Manager, Plantation manages"
1311.0100,
1311.0100,"General Manager, Plantation"
1311.02,"General Manager, Horticulture"
1311.02,
1311.0200,
1311.0200,"General Manager, Horticulture"
1311.03,"General Manager, Agricultural Farm"
1311.03,"General Manager, Agricultural"
1311.03,
1311.0300,"General Manager, Agricultural Farm"
1311.0300,"General Manager, Agricultural"
1311.0300,
1311.04,
1311.04,"General Manager, Livestock Farm"
1311.0400,"General Manager, Livestock Farm"
1311.0400,
1311.05,"Gene ral Manager, Dairy Farm"
1311.05,
1311.05,"General Manager, Dairy Farm"
1311.0500,"Gene ral Manager, Dairy Farm"
1311.0500,"General Manager, Dairy Farm"
1311.0500,
1311.06,"General Manager, Poultry"
1311.06,
1311.0600,"General Manager, Poultry"
1311.0600,
1311.07,"Manager, Agricultural Farm"
1311.07,
1311.07,"Manager,  Agricultural Farm"
1311.0700,"Manager,  Agricultural Farm"
1311.0700,"Manager, Agricultural Farm"
1311.0700,
1311.08,"Manager, Plantation"
1311.08,
1311.0800,"Manager, Plantation"
1311.0800,
1311.09,"Manager, Nursery"
1311.09,
1311.0900,"Manager, Nursery"
1311.0900,
1311.0901,Rubber Nursery Manager
1311.0901,Rubber Nursery
1311.1,
1311.1,"Manager, Aerial Planting and Cultivation"
1311.1,"Manager, Aerial Planting and"
1311.1000,"Manager, Aerial Planting and"
1311.1000,
1311.1000,"Manager, Aerial Planting and Cultivation"
1311.11,"Manager, Orchard"
1311.11,
1311.1100,"Manager, Orchard"
1311.1100,
1311.12,"Manager, Horticulture Farm"
1311.12,
1311.1200,"Manager, Horticulture Farm"
1311.1200,
1311.13,"Manager, Livestock Farm"
1311.13,
1311.1300,"Manager, Livestock Farm"
1311.1300,
1311.14,
1311.14,"Manager, Dairy Farm"
1311.1400,"Manager, Dairy Farm"
1311.1400,
1311.15,"Manager, Poultry Farm"
1311.15,
1311.1500,
1311.1500,"Manager, Poultry Farm"
1311.99,"Agricultural and Forestry Production Managers,"
1311.99,
1311.99,Agricultural and Forestry
1311.9900,"Agricultural and Forestry Production Managers,"
1311.9900,
1311.9900,Agricultural and Forestry
1321.01,"Manager, Electricity"
1321.01,
1321.0100,
1321.0100,"Manager, Electricity"
1321.02,Terminal Manager
1321.02,
1321.0200,Terminal Manager
1321.0200,
1321.03,"Manager, Gas"
1321.03,
1321.0300,
1321.0300,"Manager, Gas"
1321.04,"Manager, Water Supply"
1321.04,
1321.0400,"Manager, Water Supply"
1321.0400,
1321.05,"Manager, Food Processing Plant"
1321.05,
1321.0500,"Manager, Food Processing Plant"
1321.0500,
1321.06,"Manager, Manufacturing"
1321.06,"Manager , Manufacturing"
1321.06,
1321.0600,"Manager , Manufacturing"
1321.0600,
1321.0600,"Manager, Manufacturing"
1321.07,"General Manager, Electricity"
1321.07,
1321.0700,
1321.0700,"General Manager, Electricity"
1321.08,
1321.08,"General Manager, Gas"
1321.0800,"General Manager, Gas"
1321.0800,
1321.09,
1321.09,"General Manager, Water Supply"
1321.0900,"General Manager, Water Supply"
1321.0900,
1321.1,
1321.1,"General Manager, Manufacturing"
1321.1000,
1321.1000,"General Manager, Manufacturing"
1321.99,"Manufacturing Managers, Other"
1321.99,"Manufacturing Managers , Other  Manufacturing Managers , Other include s"
1321.99,
1321.9900,"Manufacturing Managers , Other  Manufacturing Managers , Other include s"
1321.9900,"Manufacturing Managers, Other"
1321.9900,
1322.01,
1322.01,"Manager, Mine"
1322.0100,"Manager, Mine"
1322.0100,
1322.02,"Manager, Quarry"
1322.02,
1322.0200,
1322.0200,"Manager, Quarry"
1322.03,
1322.03,"Manager, Well Drilling"
1322.0300,"Manager, Well Drilling"
1322.0300,
1322.04,
1322.04,"General Manager, Mine"
1322.0400,"General Manager, Mine"
1322.0400,
1322.05,"General Manager, Quarry"
1322.05,
1322.0500,"General Manager, Quarry"
1322.0500,
1322.06,"General Manager, Well Drilling"
1322.06,
1322.0600,"General Manager, Well Drilling"
1322.0600,
1322.99,"Mining Managers, Other"
1322.99,
1322.99,"Mining Managers,  Other"
1322.9900,"Mining Managers, Other"
1322.9900,
1322.9900,"Mining Managers,  Other"
1323.01,"Manager, Construction /Manager"
1323.01,
1323.01,"Manager, Construction/Manager Construction"
1323.0100,"Manager, Construction/Manager Construction"
1323.0100,"Manager, Construction /Manager"
1323.0100,
1323.02,"Manager, Land Survey"
1323.02,
1323.0200,"Manager, Land Survey"
1323.0200,
1323.03,"General Manager, Construction/General"
1323.03,
1323.03,"General Manager,"
1323.0300,"General Manager,"
1323.0300,
1323.0300,"General Manager, Construction/General"
1323.99,
1323.99,"Construction Managers, Other"
1323.99,"Construction Managers,  Other"
1323.9900,
1323.9900,"Construction Managers,  Other"
1323.9900,"Construction Managers, Other"
1324.01,"Manager, Material"
1324.01,"Manager, Material Control/Manager Materials"
1324.01,
1324.0100,"Manager, Material Control/Manager Materials"
1324.0100,
1324.0100,"Manager, Material"
1324.0101,Manager Testing
1324.0101,Manager Supplier Quality
1324.0102,Material Scientist
1324.0102,Material Co-ordination  Manager
1324.0102,Material Co -Ordination Manager
1324.0103,Manager Vendor Development
1324.0103,"Manager,"
1324.02,"Manager, Transport"
1324.02,
1324.0200,"Manager, Transport"
1324.0200,
1324.03,"Station Master, Roadways"
1324.03,
1324.0300,"Station Master, Roadways"
1324.0300,
1324.04,
1324.04,"Traffic Inspector, Motor Transport"
1324.0400,
1324.0400,"Traffic Inspector, Motor Transport"
1324.05,"Manager, Traffic"
1324.05,
1324.0500,"Manager, Traffic"
1324.0500,
1324.06,
1324.06,"Traffic Inspector, Railway"
1324.0600,"Traffic Inspector, Railway"
1324.0600,
1324.07,"Traffic Inspector, Tram"
1324.07,
1324.0700,"Traffic Inspector, Tram"
1324.0700,
1324.08,"Manager, Flight Operation"
1324.08,
1324.0800,"Manager, Flight Operation"
1324.0800,
1324.09,
1324.09,Aerodrome Officer
1324.0900,Aerodrome Officer
1324.0900,
1324.1,
1324.1,"Flight Operation Officer, Air Service"
1324.1000,
1324.1000,"Flight Operation Officer, Air Service"
1324.11,"Traffic Officer, Air Service/Traffic"
1324.11,
1324.11,"Traffic Officer, Air Service/Traffic Controller"
1324.1100,"Traffic Officer, Air Service/Traffic"
1324.1100,
1324.1100,"Traffic Officer, Air Service/Traffic Controller"
1324.12,
1324.12,"Manager, Storage and"
1324.12,"Manager, Storage and Warehousing"
1324.1200,
1324.1200,"Manager, Storage and"
1324.1200,"Manager, Storage and Warehousing"
1324.1201,Warehouse
1324.1201,Warehouse Supervisor
1324.13,
1324.13,"Goods Supervisor, Railway"
1324.1300,"Goods Supervisor, Railway"
1324.1300,
1324.14,
1324.14,"Goods Supervisor, Road Transport"
1324.1400,"Goods Supervisor, Road Transport"
1324.1400,
1324.15,"Station Master, Railway"
1324.15,
1324.1500,"Station Master, Railway"
1324.1500,
1324.16,"Platform Inspector, Railway"
1324.16,
1324.1600,
1324.1600,"Platform Inspector, Railway"
1324.17,
1324.17,"Rates Inspector, Railway"
1324.1700,"Rates Inspector, Railway"
1324.1700,
1324.18,"Depot Starter, Tram"
1324.18,
1324.1800,"Depot Starter, Tram"
1324.1800,
1324.19,"Section Controller, Railway"
1324.19,
1324.1900,
1324.1900,"Section Controller, Railway"
1324.2,
1324.2,"Accident Officer, Tram"
1324.2000,
1324.2000,"Accident Officer, Tram"
1324.21,"General Manager, Transport"
1324.21,
1324.2100,"General Manager, Transport"
1324.2100,
1324.22,
1324.22,"General Manager, Storage and Warehousing"
1324.22,"General Manager, Storage and"
1324.2200,"General Manager, Storage and"
1324.2200,
1324.2200,"General Manager, Storage and Warehousing"
1324.99,
